,instant,dteday,season,yr,mnth,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,2011-01-01,1,0,1,6,0,2,14.0,18.0,54.0,16.0,331,654,985
1,2,2011-01-02,1,0,1,0,0,2,15.0,18.0,47.0,25.0,131,670,801
2,3,2011-01-03,1,0,1,1,1,1,8.0,9.0,29.0,25.0,120,1229,1349
3,4,2011-01-04,1,0,1,2,1,1,8.0,11.0,40.0,16.0,108,1454,1562
4,5,2011-01-05,1,0,1,3,1,1,9.0,11.0,29.0,19.0,82,1518,1600
5,6,2011-01-06,1,0,1,4,1,1,8.0,12.0,35.0,9.0,88,1518,1606
6,7,2011-01-07,1,0,1,5,1,2,8.0,10.0,33.0,17.0,148,1362,1510
7,8,2011-01-08,1,0,1,6,0,2,7.0,8.0,36.0,27.0,68,891,959
8,9,2011-01-09,1,0,1,0,0,1,6.0,6.0,29.0,36.0,54,768,822
9,10,2011-01-10,1,0,1,1,1,1,6.0,8.0,32.0,22.0,41,1280,1321
10,11,2011-01-11,1,0,1,2,1,2,7.0,10.0,46.0,12.0,43,1220,1263
11,12,2011-01-12,1,0,1,3,1,1,7.0,8.0,40.0,30.0,25,1137,1162
12,13,2011-01-13,1,0,1,4,1,1,7.0,8.0,32.0,30.0,38,1368,1406
13,14,2011-01-14,1,0,1,5,1,1,7.0,9.0,36.0,13.0,54,1367,1421
14,15,2011-01-15,1,0,1,6,0,2,10.0,12.0,33.0,16.0,222,1026,1248
15,16,2011-01-16,1,0,1,0,0,1,9.0,12.0,32.0,19.0,251,953,1204
16,17,2011-01-17,1,0,1,1,0,2,7.0,9.0,36.0,19.0,117,883,1000
17,18,2011-01-18,1,0,1,2,1,2,9.0,12.0,58.0,15.0,9,674,683
18,19,2011-01-19,1,0,1,3,1,2,12.0,15.0,50.0,21.0,78,1572,1650
19,20,2011-01-20,1,0,1,4,1,2,11.0,13.0,36.0,20.0,83,1844,1927
20,21,2011-01-21,1,0,1,5,1,1,7.0,8.0,31.0,35.0,75,1468,1543
21,22,2011-01-22,1,0,1,6,0,1,2.0,4.0,27.0,17.0,93,888,981
22,23,2011-01-23,1,0,1,0,0,1,4.0,5.0,29.0,25.0,150,836,986
23,24,2011-01-24,1,0,1,1,1,1,4.0,6.0,33.0,16.0,86,1330,1416
24,25,2011-01-25,1,0,1,2,1,2,9.0,12.0,41.0,13.0,186,1799,1985
25,26,2011-01-26,1,0,1,3,1,3,9.0,10.0,58.0,29.0,34,472,506
26,27,2011-01-27,1,0,1,4,1,1,8.0,11.0,46.0,11.0,15,416,431
27,28,2011-01-28,1,0,1,5,1,2,8.0,11.0,53.0,12.0,38,1129,1167
28,29,2011-01-29,1,0,1,6,0,1,8.0,11.0,44.0,15.0,123,975,1098
29,30,2011-01-30,1,0,1,0,0,1,9.0,13.0,48.0,7.0,140,956,1096
30,31,2011-01-31,1,0,1,1,1,2,7.0,9.0,40.0,19.0,42,1459,1501
31,32,2011-02-01,1,0,2,2,1,2,8.0,12.0,56.0,5.0,47,1313,1360
32,33,2011-02-02,1,0,2,3,1,2,11.0,13.0,52.0,26.0,72,1454,1526
33,34,2011-02-03,1,0,2,4,1,1,8.0,9.0,29.0,28.0,61,1489,1550
34,35,2011-02-04,1,0,2,5,1,2,9.0,11.0,39.0,13.0,88,1620,1708
35,36,2011-02-05,1,0,2,6,0,2,10.0,12.0,62.0,16.0,100,905,1005
36,37,2011-02-06,1,0,2,0,0,1,12.0,15.0,38.0,14.0,354,1269,1623
37,38,2011-02-07,1,0,2,1,1,1,11.0,15.0,49.0,5.0,120,1592,1712
38,39,2011-02-08,1,0,2,2,1,1,9.0,10.0,36.0,36.0,64,1466,1530
39,40,2011-02-09,1,0,2,3,1,2,6.0,7.0,33.0,19.0,53,1552,1605
40,41,2011-02-10,1,0,2,4,1,1,6.0,7.0,29.0,22.0,47,1491,1538
41,42,2011-02-11,1,0,2,5,1,1,8.0,11.0,34.0,11.0,149,1597,1746
42,43,2011-02-12,1,0,2,6,0,1,9.0,12.0,36.0,20.0,288,1184,1472
43,44,2011-02-13,1,0,2,0,0,1,13.0,16.0,31.0,26.0,397,1192,1589
44,45,2011-02-14,1,0,2,1,1,1,17.0,20.0,25.0,42.0,208,1705,1913
45,46,2011-02-15,1,0,2,2,1,1,11.0,13.0,21.0,29.0,140,1675,1815
46,47,2011-02-16,1,0,2,3,1,1,13.0,16.0,28.0,25.0,218,1897,2115
47,48,2011-02-17,1,0,2,4,1,1,18.0,21.0,34.0,23.0,259,2216,2475
48,49,2011-02-18,1,0,2,5,1,1,21.0,26.0,35.0,26.0,579,2348,2927
49,50,2011-02-19,1,0,2,6,0,1,16.0,20.0,13.0,51.0,532,1103,1635
50,51,2011-02-20,1,0,2,0,0,1,12.0,14.0,27.0,22.0,639,1173,1812
51,52,2011-02-21,1,0,2,1,0,2,12.0,14.0,41.0,31.0,195,912,1107
52,53,2011-02-22,1,0,2,2,1,1,7.0,9.0,39.0,20.0,74,1376,1450
53,54,2011-02-23,1,0,2,3,1,1,9.0,12.0,28.0,9.0,139,1778,1917
54,55,2011-02-24,1,0,2,4,1,2,12.0,14.0,47.0,25.0,100,1707,1807
55,56,2011-02-25,1,0,2,5,1,2,15.0,18.0,48.0,35.0,120,1341,1461
56,57,2011-02-26,1,0,2,6,0,1,12.0,14.0,36.0,19.0,424,1545,1969
57,58,2011-02-27,1,0,2,0,0,1,14.0,18.0,46.0,13.0,694,1708,2402
58,59,2011-02-28,1,0,2,1,1,2,17.0,20.0,59.0,29.0,81,1365,1446
59,60,2011-03-01,1,0,3,2,1,1,11.0,13.0,36.0,22.0,137,1714,1851
60,61,2011-03-02,1,0,3,3,1,1,14.0,16.0,30.0,31.0,231,1903,2134
61,62,2011-03-03,1,0,3,4,1,1,8.0,10.0,21.0,23.0,123,1562,1685
62,63,2011-03-04,1,0,3,5,1,2,11.0,13.0,41.0,20.0,214,1730,1944
63,64,2011-03-05,1,0,3,6,0,2,16.0,19.0,53.0,25.0,640,1437,2077
64,65,2011-03-06,1,0,3,0,0,2,15.0,18.0,64.0,34.0,114,491,605
65,66,2011-03-07,1,0,3,1,1,1,11.0,12.0,37.0,34.0,244,1628,1872
66,67,2011-03-08,1,0,3,2,1,1,12.0,15.0,28.0,12.0,316,1817,2133
67,68,2011-03-09,1,0,3,3,1,2,12.0,14.0,52.0,22.0,191,1700,1891
68,69,2011-03-10,1,0,3,4,1,3,16.0,19.0,0.0,26.0,46,577,623
69,70,2011-03-11,1,0,3,5,1,2,13.0,15.0,44.0,23.0,247,1730,1977
70,71,2011-03-12,1,0,3,6,0,1,13.0,16.0,40.0,22.0,724,1408,2132
71,72,2011-03-13,1,0,3,0,0,1,16.0,19.0,35.0,27.0,982,1435,2417
72,73,2011-03-14,1,0,3,1,1,1,13.0,17.0,33.0,14.0,359,1687,2046
73,74,2011-03-15,1,0,3,2,1,2,13.0,16.0,44.0,18.0,289,1767,2056
74,75,2011-03-16,1,0,3,3,1,2,15.0,18.0,52.0,20.0,321,1871,2192
75,76,2011-03-17,1,0,3,4,1,1,17.0,21.0,40.0,21.0,424,2320,2744
76,77,2011-03-18,1,0,3,5,1,1,22.0,26.0,35.0,23.0,884,2355,3239
77,78,2011-03-19,1,0,3,6,0,1,19.0,23.0,25.0,37.0,1424,1693,3117
78,79,2011-03-20,1,0,3,0,0,1,14.0,16.0,32.0,21.0,1047,1424,2471
79,80,2011-03-21,2,0,3,1,1,2,18.0,20.0,49.0,29.0,401,1676,2077
80,81,2011-03-22,2,0,3,2,1,1,18.0,22.0,42.0,23.0,460,2243,2703
81,82,2011-03-23,2,0,3,3,1,2,14.0,17.0,56.0,23.0,203,1918,2121
82,83,2011-03-24,2,0,3,4,1,2,12.0,14.0,54.0,24.0,166,1699,1865
83,84,2011-03-25,2,0,3,5,1,1,11.0,13.0,33.0,23.0,300,1910,2210
84,85,2011-03-26,2,0,3,6,0,1,11.0,13.0,26.0,21.0,981,1515,2496
85,86,2011-03-27,2,0,3,0,0,2,10.0,13.0,33.0,18.0,472,1221,1693
86,87,2011-03-28,2,0,3,1,1,1,11.0,13.0,20.0,21.0,222,1806,2028
87,88,2011-03-29,2,0,3,2,1,1,12.0,15.0,21.0,23.0,317,2108,2425
88,89,2011-03-30,2,0,3,3,1,2,12.0,15.0,43.0,17.0,168,1368,1536
89,90,2011-03-31,2,0,3,4,1,3,11.0,13.0,62.0,22.0,179,1506,1685
90,91,2011-04-01,2,0,4,5,1,2,12.0,14.0,46.0,26.0,307,1920,2227
91,92,2011-04-02,2,0,4,6,0,2,13.0,16.0,44.0,20.0,898,1354,2252
92,93,2011-04-03,2,0,4,0,0,1,16.0,19.0,32.0,18.0,1651,1598,3249
93,94,2011-04-04,2,0,4,1,1,1,24.0,27.0,29.0,39.0,734,2381,3115
94,95,2011-04-05,2,0,4,2,1,2,17.0,20.0,43.0,39.0,167,1628,1795
95,96,2011-04-06,2,0,4,3,1,1,16.0,19.0,32.0,26.0,413,2395,2808
96,97,2011-04-07,2,0,4,4,1,1,18.0,22.0,40.0,16.0,571,2570,3141
97,98,2011-04-08,2,0,4,5,1,2,14.0,16.0,56.0,23.0,172,1299,1471
98,99,2011-04-09,2,0,4,6,0,2,14.0,17.0,59.0,13.0,879,1576,2455
99,100,2011-04-10,2,0,4,0,0,2,17.0,21.0,57.0,15.0,1188,1707,2895
100,101,2011-04-11,2,0,4,1,1,2,24.0,28.0,48.0,32.0,855,2493,3348
101,102,2011-04-12,2,0,4,2,1,2,21.0,25.0,50.0,27.0,257,1777,2034
102,103,2011-04-13,2,0,4,3,1,2,17.0,21.0,55.0,25.0,209,1953,2162
103,104,2011-04-14,2,0,4,4,1,1,19.0,23.0,36.0,11.0,529,2738,3267
104,105,2011-04-15,2,0,4,5,0,1,18.0,22.0,45.0,23.0,642,2484,3126
105,106,2011-04-16,2,0,4,6,0,3,18.0,21.0,60.0,34.0,121,674,795
106,107,2011-04-17,2,0,4,0,0,1,19.0,22.0,32.0,30.0,1558,2186,3744
107,108,2011-04-18,2,0,4,1,1,1,21.0,25.0,36.0,16.0,669,2760,3429
108,109,2011-04-19,2,0,4,2,1,2,21.0,24.0,45.0,16.0,409,2795,3204
109,110,2011-04-20,2,0,4,3,1,1,24.0,28.0,41.0,24.0,613,3331,3944
110,111,2011-04-21,2,0,4,4,1,1,19.0,23.0,27.0,33.0,745,3444,4189
111,112,2011-04-22,2,0,4,5,1,2,14.0,16.0,49.0,22.0,177,1506,1683
112,113,2011-04-23,2,0,4,6,0,2,19.0,23.0,59.0,23.0,1462,2574,4036
113,114,2011-04-24,2,0,4,0,0,2,24.0,28.0,54.0,19.0,1710,2481,4191
114,115,2011-04-25,2,0,4,1,1,1,25.0,29.0,52.0,19.0,773,3300,4073
115,116,2011-04-26,2,0,4,2,1,1,26.0,30.0,49.0,33.0,678,3722,4400
116,117,2011-04-27,2,0,4,3,1,2,25.0,29.0,56.0,31.0,547,3325,3872
117,118,2011-04-28,2,0,4,4,1,2,25.0,29.0,47.0,32.0,569,3489,4058
118,119,2011-04-29,2,0,4,5,1,1,21.0,25.0,31.0,24.0,878,3717,4595
119,120,2011-04-30,2,0,4,6,0,1,19.0,23.0,34.0,24.0,1965,3347,5312
120,121,2011-05-01,2,0,5,0,0,2,19.0,22.0,51.0,11.0,1138,2213,3351
121,122,2011-05-02,2,0,5,1,1,2,23.0,27.0,49.0,18.0,847,3554,4401
122,123,2011-05-03,2,0,5,2,1,2,25.0,29.0,47.0,34.0,603,3848,4451
123,124,2011-05-04,2,0,5,3,1,2,17.0,20.0,49.0,33.0,255,2378,2633
124,125,2011-05-05,2,0,5,4,1,1,19.0,22.0,30.0,30.0,614,3819,4433
125,126,2011-05-06,2,0,5,5,1,1,20.0,24.0,40.0,23.0,894,3714,4608
126,127,2011-05-07,2,0,5,6,0,1,21.0,26.0,36.0,16.0,1612,3102,4714
127,128,2011-05-08,2,0,5,0,0,1,22.0,26.0,42.0,7.0,1401,2932,4333
128,129,2011-05-09,2,0,5,1,1,1,22.0,26.0,39.0,18.0,664,3698,4362
129,130,2011-05-10,2,0,5,2,1,1,22.0,26.0,33.0,12.0,694,4109,4803
130,131,2011-05-11,2,0,5,3,1,1,22.0,26.0,42.0,12.0,550,3632,4182
131,132,2011-05-12,2,0,5,4,1,1,22.0,26.0,50.0,19.0,695,4169,4864
132,133,2011-05-13,2,0,5,5,1,2,21.0,25.0,58.0,18.0,692,3413,4105
133,134,2011-05-14,2,0,5,6,0,2,21.0,25.0,62.0,13.0,902,2507,3409
134,135,2011-05-15,2,0,5,0,0,2,23.0,27.0,58.0,15.0,1582,2971,4553
135,136,2011-05-16,2,0,5,1,1,1,24.0,28.0,53.0,13.0,773,3185,3958
136,137,2011-05-17,2,0,5,2,1,2,23.0,27.0,56.0,28.0,678,3445,4123
137,138,2011-05-18,2,0,5,3,1,2,23.0,26.0,58.0,20.0,536,3319,3855
138,139,2011-05-19,2,0,5,4,1,2,22.0,26.0,56.0,11.0,735,3840,4575
139,140,2011-05-20,2,0,5,5,1,1,22.0,26.0,48.0,13.0,909,4008,4917
140,141,2011-05-21,2,0,5,6,0,1,25.0,29.0,42.0,12.0,2258,3547,5805
141,142,2011-05-22,2,0,5,0,0,1,25.0,29.0,50.0,15.0,1576,3084,4660
142,143,2011-05-23,2,0,5,1,1,2,26.0,30.0,54.0,23.0,836,3438,4274
143,144,2011-05-24,2,0,5,2,1,2,27.0,30.0,50.0,21.0,659,3833,4492
144,145,2011-05-25,2,0,5,3,1,1,27.0,31.0,47.0,15.0,740,4238,4978
145,146,2011-05-26,2,0,5,4,1,1,29.0,33.0,45.0,20.0,758,3919,4677
146,147,2011-05-27,2,0,5,5,1,1,28.0,32.0,44.0,24.0,871,3808,4679
147,148,2011-05-28,2,0,5,6,0,1,27.0,31.0,49.0,23.0,2001,2757,4758
148,149,2011-05-29,2,0,5,0,0,1,27.0,31.0,55.0,21.0,2355,2433,4788
149,150,2011-05-30,2,0,5,1,0,1,30.0,34.0,46.0,13.0,1549,2549,4098
150,151,2011-05-31,2,0,5,2,1,1,32.0,36.0,43.0,11.0,673,3309,3982
151,152,2011-06-01,2,0,6,3,1,2,31.0,36.0,45.0,21.0,513,3461,3974
152,153,2011-06-02,2,0,6,4,1,1,29.0,32.0,20.0,29.0,736,4232,4968
153,154,2011-06-03,2,0,6,5,1,1,25.0,29.0,24.0,25.0,898,4414,5312
